Dish Name,COGS_Meat/Sausage (CHF),COGS_Cheese (CHF),COGS_Mushrooms (CHF),COGS_Potatoes (CHF),COGS_Pasta/Noodles (CHF),COGS_Bread/Toast (CHF),COGS_Salad Greens (CHF),COGS_Rice (CHF),COGS_Sauce (CHF),COGS_Vegetables (CHF),Estimated dish weight (kg),Price (CHF),Total COGS Estimated (CHF),Healthiness
Bouillon with Flaedli,0,0,0,0,0.8,0,0,0,0,0,0.2,8,0.8,5
Seasonal soup,0,0,0,0,0,0,0,0,0,0.5,0.3,9,0.5,5
"Butterhead lettuce ""Mimosa""",0,0,0,0,0,0,1.7,0,0,0,0.25,9,1.7,5
"Lamb's lettuce ""Mimosa""",0,0,0,0,0,0,1.7,0,0,0,0.25,10,1.7,4
Mixed salad,0,0,0,0,0,0,1.5,0,0,0.1,0.3,9.5,1.6,4
Coleslaw salad,0,0,0,0,0,0,1,0,0,0.1,0.2,6.5,1.1,5
Beefsteak Tartar (small portion),4.75,0,0,0,0,0.3,0.35,0,0.4,0,0.25,24,5.8,3
Beefsteak Tartar (large portion),7.6,0,0,0,0,0.5,0.5,0,0.6,0,0.4,32,9.2,3
Raw ham,5.7,0,0,0,0,0,0,0,0,0,0.15,19,5.7,2
Buendnerfleisch,5.7,0,0,0,0,0,0,0,0,0,0.15,21,5.7,2
Hobelkaese,0,2.4,0,0,0,0,0,0,0,0,0.15,15,2.4,3
Sausage and cheese salad,6.7,1.1,0,0,0,0,0.5,0,0.5,0,0.35,23.5,8.8,2
Sausage salad,5.7,0,0,0,0,0,0.6,0,0.5,0.1,0.3,16.5,6.9,2
Boersensalat,7.6,0,0,0,0,0,0,0,0.3,0.2,0.4,23,8.1,2
Sliced veal liver,6.9,0,0,0,0,0,0,0,0.9,0.1,0.3,36,7.9,3
Viennese schnitzel,8,0,0,0,0,0,0,0,0.9,0.1,0.3,36.5,9,3
Sliced veal in Zurich style,6.5,0,2.5,0,0,0,0,0,1.5,0.1,0.35,36.5,10.6,3
Veal cordon bleu,6.5,1.7,0,0,0,0,0,0,0.5,0.1,0.35,38,8.8,1
Pork cordon bleu,6.5,1.7,0,0,0,0,0,0,0.5,0.1,0.35,32,8.8,1
Buergermeister Schwert,22,0,0,0,0,0,0.6,0,1,0.1,0.8,88,23.7,2
Whole pork knuckle,16,0,0,0.5,0,0,0,0,1,0,0.7,33,17.5,2
Beef pieces,14,0,0,0,0,0,0,0.4,2,0,0.6,36,16.4,3
Roast pork,14,0,0,0.5,0,0,0,0,1,0,0.6,29,15.5,3
Pike-perch fillets in crispy dough,6,0,0,0.3,0,0,0,0,1,0.1,0.4,31,7.4,3
Zurich veal bratwurst,9.4,0,0,0,0,0,0,0,1,0.1,0.35,20,10.5,3
Zwingli sausage,9.4,0,0,0,0,0,0,0,1,0.1,0.35,22,10.5,2
"Wiediker ""Roschtbratwurst""",9.4,0,0,0,0,0,0,0,1,0.1,0.35,22.5,10.5,3
"Hungarian paprika ""snail""",9.4,0,0,0,0,0,0,0,1.5,0,0.35,24,10.9,2
Waadtlaender Saucisson,11.4,0,0,0.4,0,0,0,0,0.7,0,0.5,29,12.5,2
"Augustiner ""Schueblig"" sausage",9.4,0,0,0,0,0,0,0,1,0.1,0.35,19.5,10.5,2
Zeughauskeller sausage skewer,13.4,0,0,0,0,0,0,0,1.5,0.1,0.5,31,15,1
"Zeughauskeller ""Kanonenputzer""",10.6,0,0,0,0,0,0,0,1.8,0,0.4,44,12.4,1
"Zeughauskeller ""Kanonenputzer""",21.3,0,0,0,0,0,0,0,3.6,0,0.8,88,24.9,1
Aelplermagronen,0,1.9,0,0.3,0.5,0,0,0,0.6,0,0.4,21.5,3.3,3
Zeughauskeller burger,8.55,0,0,0,0,0.6,0,0,1.35,0.1,0.45,28,10.6,2
Incredible Burger,0,0,0,0,0,0.5,0,0,0.5,0.3,0.4,26.5,1.3,4
Veal paillard,7.7,0,0,0,0,0,0,0,1.8,0.1,0.4,35,9.6,3
Sliced chicken,7.7,0,0,0,0,0,0,0,1.8,0.1,0.4,32.5,9.6,4
Chicken breast,7.6,0,0,0,0,0,0,0,1.4,0.2,0.4,28,9.2,4
